kommune,lyn_treff,andel (%),lyn_per_år,areal_km2,lyn_per_km2
Marnardal,4036,0.16595776876441234,201.8,396.54313305736866,10.177959630475064
Stryn,4032,0.1657932912928916,201.6,1460.60363008282,2.760502518928681
Lindås,4028,0.16562881382137087,201.4,640.8549223842176,6.285353922248656
Trøgstad,3978,0.16357284542736183,198.9,204.49930426357108,19.452388918022493
Bodø,3963,0.1629560549091591,198.15,4827.96884254245,0.8208420827158963
Vik,3953,0.16254486123035727,197.65,974.7338013083933,4.055466215179832
Skjåk,3859,0.15867964064962023,192.95,2080.9522167928667,1.8544395055583904
Verran,3839,0.1578572532920166,191.95,676.3978591240162,5.6756536825408945
Årdal,3814,0.15682926909501205,190.7,1011.8263537178099,3.7694214881693955
Gamvik,3810,0.1566647916234913,190.5,3119.9096997210627,1.2211891902963201
Inderøy,3736,0.15362195840035792,186.8,561.2851075982462,6.65615379675125
Fusa,3704,0.1523061386281921,185.2,509.93317916432613,7.263696796647125
Lund,3676,0.15115479632754703,183.8,410.5600440171844,8.953623358063888
Førde,3661,0.1505380058093443,183.05,607.3442795711446,6.027882575242315
Spydeberg,3590,0.1476185306898514,179.5,142.0909218703811,25.265512762841304
Re,3553,0.14609711407828468,177.65,249.9292695765429,14.21602202102969
Roan,3498,0.14383554884487473,174.9,975.2242964790742,3.5868671572571493
Bremanger,3405,0.14001144763201784,170.25,1942.4976724462897,1.7528978532632702
Jølster,3392,0.13947689584957548,169.6,673.7234194446121,5.03470697633788
Sogndal,3385,0.13918906027441422,169.25,855.9161703763144,3.954826555633061
Iveland,3333,0.13705085314464477,166.65,262.51529165186025,12.696403241987605
Fosnes,3295,0.13548831716519788,164.75,681.3262313282493,4.836156085721783
Rissa,3280,0.13487152664699517,164.0,767.9058146917263,4.271357160274594
Drammen,3226,0.13265108078146537,161.3,146.08467463694438,22.083083033982774
Ulvik,3225,0.1326099614135852,161.25,748.60812892198,4.307994898003719
Gaular,3213,0.132116528999023,160.65,591.6200124806912,5.4308507694453
Eidfjord,3187,0.13104742543413828,159.35,1523.9477546867056,2.091279041685511
Sandnes,3168,0.13026615744441483,158.4,356.68119404699024,8.881881222991078
Osen,3125,0.12849802462556703,156.25,1752.923428922588,1.7827361700109976
Leksvik,3109,0.12784011473948415,155.45,614.9814268877686,5.05543722797238
Gulen,3092,0.12714108548552105,154.6,989.2326619170873,3.1256549839426517
Osterøy,3077,0.12652429496731832,153.85,313.44471540999115,9.816723169108883
Balsfjord,3042,0.125085117091512,152.1,1741.513799907435,1.746756184281565
Eigersund,3014,0.12393377479086688,150.7,1068.0507832466833,2.82196319433237
Holmestrand,2998,0.12327586490478398,149.9,94.48580655371991,31.729633363456415
Tysnes,2982,0.1226179550187011,149.1,485.37125247796774,6.143750757334687
Vestre Toten,2976,0.12237123881142,148.8,249.66950010098589,11.919757915148917
Gáivuotna  Kåfjord,2964,0.12187780639685783,148.2,1115.8291870750165,2.65632055007424
Råde,2962,0.12179556766109746,148.1,158.95706720745736,18.63396231470632
Asker,2943,0.12101429967137402,147.15,131.0617155085199,22.455070030032417
Trondheim,2937,0.12076758346409291,146.85,528.1240057872703,5.561193901083586
Jondal,2886,0.11867049570220367,144.3,332.6074292876079,8.676895781255855
Vestby,2857,0.1174780340336784,142.85,151.5629689776467,18.850250950292253
Bjugn,2793,0.11484639448934679,139.65,1174.3025271355405,2.378433100040179
Frogn,2720,0.11184468063409356,136.0,0.27234383488699593,9987.374970792396
Frogn,2720,0.11184468063409356,136.0,115.1776179097997,23.615699381195252
Ås,2711,0.11147460632317191,135.55,104.18397911952559,26.0212752758252
Unjárga  Nesseby,2672,0.10987095097584483,133.6,1646.8760824055992,1.6224657268062317
Sauda,2664,0.10954199603280339,133.2,567.510582705891,4.694185590862545
Marker,2648,0.10888408614672049,132.4,412.9317340225668,6.4126822470255735
Kragerø,2639,0.10851401183579884,131.95,1061.5178942212299,2.4860626602400058
Rygge,2584,0.10625244660238888,129.2,127.0389632794621,20.340216365869427
Saltdal,2571,0.1057178948199465,128.55,2244.1746239710733,1.145632774088947
Lindesnes,2563,0.10538893987690506,128.15,805.8853707272899,3.1803530540416203
Rømskog,2551,0.10489550746234289,127.55,183.13981354158892,13.929248647076392
Audnedal,2527,0.10390864263321853,126.35,252.4730928869236,10.008987378040242
Gjerdrum,2521,0.10366192642593745,126.05,83.22553373111847,30.291184531717633
Porsgrunn,2489,0.10234610665377164,124.45,199.32012351020342,12.487449617060795
Gjemnes,2483,0.10209939044649055,124.15,471.75580816185106,5.26331622640696
Fjaler,2477,0.10185267423920945,123.85,490.9444486676654,5.045377347115607
Stranda,2464,0.1013181224567671,123.2,947.6493236566098,2.600117932330056
Røyken,2431,0.0999611833167211,121.55,143.26026141924046,16.96911604039211
Molde,2427,0.09979670584520038,121.35,586.7680074224027,4.136217328312603
Ørsta,2418,0.09942663153427875,120.9,947.4626055165874,2.552079613402397
Nedre Eiker,2416,0.09934439279851838,120.8,121.91576246987636,19.816961736977685
Tromsø,2395,0.09848088607303457,119.75,5286.336053227574,0.4530548145038438
Skiptvet,2382,0.09794633429059223,119.1,101.2414505432398,23.527912601199425
Hitra,2373,0.09757625997967058,118.65,1399.9151677175623,1.695102713880132
Nesodden,2370,0.09745290187603003,118.5,116.63269909733316,20.320201953160414
Berlevåg,2274,0.09350544255953262,113.7,2454.8940452139273,0.9263128909507932
Skedsmo,2263,0.09305312951285062,113.15,77.06423856614481,29.365112042956866
Narvik,2249,0.09247745836252809,112.45,2222.506784691107,1.0119204204420797
Finnøy,2230,0.09169619037280463,111.5,390.587244720444,5.709351828926425
Halsa,2229,0.09165507100492445,111.45,384.0236155469231,5.804330540520216
Kvalsund,2207,0.09075044491156047,110.35,2148.124163049199,1.0274080232248906
Naustdal,2185,0.08984581881819646,109.25,400.14744089124576,5.4604872522322365
Strand,2185,0.08984581881819646,109.25,334.50469790255664,6.5320457790296995
Moss,2147,0.08828328283874959,107.35,125.19473803851417,17.14928305804282
Sørfold,2140,0.08799544726358831,107.0,1828.4156090045658,1.1704122353041322
Eid,2124,0.0873375373775054,106.2,552.2518751166285,3.846071141997369
Norddal,2110,0.08676186622718286,105.5,989.600989131502,2.132172484843399
Beiarn,2108,0.08667962749142251,105.4,1238.2971971953712,1.7023376979084064
Horten,2102,0.0864329112841414,105.1,149.6693933722217,14.044287563673166
Horten,2102,0.0864329112841414,105.1,0.003245443992960899,647677.1759300315
Time,2089,0.08589835950169905,104.45,184.3235233517329,11.333333705941014
Agdenes,2073,0.08524044961561615,103.65,462.95326684510246,4.477773780768235
Tingvoll,2064,0.08487037530469452,103.2,505.8868920168296,4.079963392155525
Skaun,1992,0.08190978081732145,99.6,252.99142663110183,7.873784604189868
Tvedestrand,1986,0.08166306461004036,99.3,611.0360041850946,3.2502176408550914
Rennesøy,1973,0.081128512827598,98.65,216.63767199105482,9.107372609143747
Stord,1929,0.07931926064087003,96.45,227.22814257907828,8.489265361700008
Sveio,1928,0.07927814127298985,96.4,376.3740668878294,5.122563347528939
Lørenskog,1910,0.07853799265114658,95.5,70.57748335051708,27.062455464927066
Hå,1906,0.07837351517962585,95.3,1067.4648184368805,1.7855389396261423
Grimstad,1835,0.07545404006013295,91.75,944.2527744245339,1.9433355661764655
Larvik,1767,0.07265792304428062,88.35,1283.2622055781935,1.3769594337922941
Rælingen,1753,0.07208225189395809,87.65,71.7091279734097,24.445981279398993
Sokndal,1740,0.07154770011151573,87.0,873.1323240176533,1.9928250874890527
Vevelstad,1736,0.071383222639995,86.8,660.7678741181793,2.627246371983142
Steigen,1713,0.07043747717875083,85.65,3481.9276985997435,0.49196885986141603
Svelvik,1704,0.0700674028678292,85.2,77.58164661247379,21.963957642090392
Leka,1702,0.06998516413206883,85.1,1704.9525156367574,0.9982682710458627
Tysfjord,1693,0.0696150898211472,84.65,1927.6450617308922,0.878273720411891
Vadsø,1688,0.06940949298174628,84.4,1976.3435921586506,0.8541024985216721
Balestrand,1640,0.06743576332349759,82.0,537.4225250510324,3.0516026469941306
Volda,1617,0.0664900178622534,80.85,659.4526040710397,2.452033686754247
Frosta,1581,0.06500972061856687,79.05,247.43938368192573,6.389443654743004
Askvoll,1549,0.06369390084640107,77.45,1599.1451027801252,0.9686425561426868
Lyngen,1511,0.06213136486695418,75.55,1299.8478893984727,1.1624437077012462
Vanylven,1507,0.06196688739543344,75.35,486.0293122812931,3.1006360355644818
Hyllestad,1490,0.061267858141470365,74.5,386.4858659783233,3.8552509448911363
Klæbu,1470,0.06044547078386674,73.5,186.43469709679601,7.884798392633872
Askim,1458,0.05995203836930455,72.9,69.17379677486679,21.07734529514421
Songdalen,1421,0.05843062175773785,71.05,216.73659942307776,6.556345369367709
Nordkapp,1414,0.058142786182576574,70.7,4110.854072113059,0.3439674518227733
Andebu,1412,0.05806054744681621,70.6,186.1102068803241,7.586902533013514
Stavanger,1405,0.05777271187165494,70.25,140.9726764515088,9.966470349899941
Haram,1385,0.05695032451405131,69.25,1067.7622234056366,1.2971052633633458
Skjervøy,1384,0.05690920514617113,69.2,1562.245297839266,0.8859044107312749
Sømna,1384,0.05690920514617113,69.2,789.9081375537311,1.7521024714166307
Granvin,1381,0.05678584704253059,69.05,229.45373604174452,6.018642467206351
Fitjar,1356,0.05575786284552604,67.8,242.1423889101203,5.60001082876624
Vikna,1336,0.054935475487922415,66.8,3293.032821067055,0.4057050362368057
Risør,1325,0.05448316244124042,66.25,585.8169514513852,2.261798667172841
Rødøy,1283,0.052756148990272804,64.15,3103.9793281978873,0.4133403816013446
Fræna,1224,0.0503301062853421,61.2,1127.1859191253773,1.0858900729967813
Malvik,1220,0.05016562881382137,61.0,0.6522569507693996,1870.4285152667105
Malvik,1220,0.05016562881382137,61.0,0.37321364973156046,3268.905091969448
Malvik,1220,0.05016562881382137,61.0,231.7581217156426,5.264108938097489
Båtsfjord,1212,0.049836673870779925,60.6,2833.2735929013284,0.42777372543076153
Oppegård,1209,0.049713315767139374,60.45,45.49290088919887,26.575575009925256
Måsøy,1188,0.04884980904165556,59.4,3890.6771501010985,0.30534530472905724
Fauske,1155,0.04749286990160958,57.75,1292.890663592414,0.8933470033658745
Hamarøy,1151,0.04732839243008885,57.55,1561.3261502671432,0.7371938270572511
Ballangen,1124,0.046218169497323956,56.2,1192.331555656691,0.9426908100079121
Ørland,1098,0.04514906593243923,54.9,335.60331046363876,3.2717198125462583
Vestnes,1090,0.04482011098939778,54.5,467.9471428369366,2.3293229089761263
Alstahaug,1071,0.04403884299967433,53.55,584.9518651299817,1.830919882206058
Leirfjord,1044,0.04292862006690944,52.2,595.8098214006403,1.7522369764663266
Salangen,961,0.03951571253285437,48.05,521.3115423340224,1.8434274363030578
Sola,912,0.03750086350672548,45.6,568.8134937987808,1.603337491010054
Arendal,878,0.03610280499879931,43.9,920.8827589013374,0.9534329875471891
Gildeskål,872,0.03585608879151823,43.6,1501.1376890974188,0.5808927497678796
Sykkylven,853,0.035074820801794776,42.65,402.10888373474387,2.1213159780938637
Meløy,825,0.0339234785011497,41.25,2741.350347253302,0.3009465757729979
Bokn,795,0.03268989746474425,39.75,189.83916070518256,4.187755556055283
Hornindal,794,0.03264877809686407,39.7,192.36086877427212,4.127658629633908
Averøy,782,0.0321553456823019,39.1,720.6171309901072,1.0851809738765918
Vågsøy,759,0.031209600221057718,37.95,825.8086233291325,0.919099145441467
Loppa,750,0.03083952591013609,37.5,2810.3849702857324,0.2668673537361493
Selje,722,0.02968818360949101,36.1,1047.2945245982744,0.6893953735478067
Randaberg,721,0.02964706424161083,36.05,91.30058595230143,7.896992034384919
Tønsberg,709,0.029153631827048648,35.45,160.32881466360445,4.42216205170353
Dyrøy,666,0.027385499008200847,33.3,469.5001268237876,1.4185299682569896
Farsund,663,0.027262140904560302,33.15,1259.2284913557987,0.5265128644652525
Stordal,661,0.02717990216879994,33.05,274.44516969493725,2.4084956595692404
Sørreisa,635,0.026110798603915224,31.75,390.8703079124375,1.6245797829756161
Klepp,621,0.025535127453592682,31.05,550.3868542547127,1.1282972970728118
Giske,605,0.024877217567509775,30.25,911.9957423472149,0.663380289959363
Nesna,604,0.024836098199629595,30.2,402.58164658812,1.5003167807546638
Midsund,597,0.024548262624468326,29.85,276.08786023942884,2.1623551266697123
Eide,583,0.023972591474145787,29.15,446.46860652211814,1.3058028974118208
Leikanger,566,0.0232735622201827,28.3,218.41953439540015,2.591343313530659
Austevoll,538,0.02212221991953762,26.9,953.5864006476304,0.564185898241225
Lavangen,499,0.020518564572210542,24.95,324.4072660830561,1.5381899611096996
Bømlo,487,0.020025132157648368,24.35,1668.8967910735769,0.29180953705754326
Kristiansund,487,0.020025132157648368,24.35,671.256571443384,0.7255050016908106
Ulstein,449,0.018462596178201472,22.45,257.8247873375069,1.7414927580730792
Kristiansand,447,0.01838035744244111,22.35,778.792819562055,0.5739652302538757
Skånland,428,0.01759908945271766,21.4,580.3737864771863,0.7374557741450029
Vega,425,0.01747573134907712,21.25,2920.9151561293947,0.14550234336939186
Herøy,417,0.017146776406035662,20.85,1199.4915353909018,0.347647305292658
Herøy,417,0.017146776406035662,20.85,2261.5780835881505,0.18438452469366018
Gratangen,409,0.016817821462994213,20.45,374.4615560017999,1.0922349529467694
Lurøy,396,0.016283269680551854,19.8,1336.9854044415038,0.29618872329082774
Lenvik,395,0.016242150312671674,19.75,1585.9131812786857,0.24906785860845201
Halden,390,0.01603655347327077,19.5,661.5551753886765,0.5895199894262295
Sula,350,0.014391778758063509,17.5,123.50106738469523,2.833983603637854
Aukra,348,0.014309540022303146,17.4,463.39661517910315,0.7509765686689311
Evenes,336,0.013816107607740968,16.8,390.0850827029384,0.8613505486337045
Hareid,327,0.013446033296819334,16.35,135.67749095339755,2.41012711616489
Ørskog,317,0.013034839618017519,15.85,154.66855847726976,2.0495438964512407
Ålesund,311,0.012788123410736431,15.55,195.36837827179602,1.5918645727167655
Smøla,284,0.011677900477971532,14.2,2159.643570279703,0.13150318131580305
Askøy,275,0.0113078261670499,13.75,221.05388869269146,1.2440405442597948
Sandøy,270,0.011102229327648993,13.5,1011.0987504005467,0.26703623151847383
Skodje,264,0.010855513120367904,13.2,157.47561982990166,1.6764499818140826
Lillesand,229,0.009416335244561553,11.45,853.205126042004,0.2683997001545513
Ibestad,213,0.00875842535847865,10.65,592.3503061895868,0.3595845191170164
Dønna,208,0.008552828519077741,10.4,758.9635074093325,0.2740579724445423
Vardø,202,0.008306112311796654,10.1,2507.1514461453007,0.08056952455368074
Meland,198,0.008141634840275927,9.9,131.35441726541657,1.5073722233483662
Tjeldsund,177,0.007278128114792117,8.85,444.5045243905344,0.3981961718897842
Hammerfest,81,0.0033306687982946974,4.05,3232.412783805449,0.025058680749505163
Karlsøy,77,0.003166191326773972,3.85,5887.708243590053,0.013078093685064964
Kvitsøy,76,0.0031250719588937904,3.8,364.9154830865597,0.20826740306322503
Nøtterøy,42,0.001727013450967621,2.1,202.98473422543972,0.20691211169286156
Radøy,27,0.001110222932764899,1.35,211.1663875639597,0.12786125818353564
Solund,22,0.0009046260933639918,1.1,1759.954283308386,0.012500324700846263
Haugesund,12,0.0004934324145621774,0.6,368.1721724553852,0.0325934464844818
Tranøy,11,0.0004523130466819959,0.55,937.8636055027949,0.011728784372758368
Lødingen,6,0.0002467162072810887,0.3,1043.128349392537,0.00575192880482453
Sund,3,0.00012335810364054434,0.15,568.849185263232,0.005273805566956671
Harstad,3,0.00012335810364054434,0.15,1519.3089490014759,0.001974581932115695
